"sourceAddress","sum(inAmount)","inAsset"
"1B1Uu5yhfGdFzxxuFYNiKuG8vHQZfrBAza","249997800","BTC"
"1DJjDCRv4zMdRwXQW36CKWdqmEFe78GhE1","249980000","BTC"
"1NCvBzKDmXFsvHeNCcLriwradJTVBrLcEx","328551875","BTC"
"1G3kTtpc6LdsknA7KGWRf8jMvyynMzoXe3","216206690","BTC"
"1Ft52w237fvvP8C6h89kPUvNf94x3vnEQj","206980000","BTC"
"1P5ZsndHfzzZqF2qrBARZ9rwX8MxQjWP9N","203748486","BTC"
"1FWWmiPt7feY1bhXRfk7jLeyNqtJH2BRkm","201774574","BTC"
"16MyxkCduWZT3MM3wBtSXmL2wMSwrVhMUC","200962200","BTC"
"1M5TjxxJKGRrJG6jHKSEFHgTkyz6ZStnGR","200910000","BTC"
"1LER2DBxGx66CbVYjA6x9VfsqwCMxvTKye","200001337","BTC"
"122nYYXKL743czgoANoK1YJ9Zbnn53ithW","200000000","BTC"
"1Cn4owuTHrpKgdvF1Ah9tvjN1ADeD1J5Hq","200000000","BTC"
"1GPbDpHcFrcL6A1vRy72ky2RGK9gKq2G1z","200000000","BTC"
"1JZB7x5NtqrjzwWzYmB26kh5VpmQY6Uxk8","200000000","BTC"
"1KFbYJWkzSJRGbhugyRZbhM6JbQEa2BuWn","200000000","BTC"
"1Kv78giuH4sRjrCsrR68q4xSXTNo7Sg498","200000000","BTC"
"1Lb7frtkBNCV63jSYsQj3KjPh9pfrjAa3B","200000000","BTC"
"1Mf3mXVB7rv7oKfhMTJgLvujAoVD4tuC5X","549980000","BTC"
"1pxi2hHQsB1iwoDxY8m41LQk2DxmwPdnN","200000000","BTC"
"17VS1hvx7NAPrvhXYCw15QNsJW2JizpdhY","200977800","BTC"
"1BiYcvhBV9KMeYHLBZmXSQDDAMS7fgtaJW","199987800","BTC"
"168dwPEC36MWzwMGDWXkAV8UNTQ6oZQyse","199980000","BTC"
"16R1w6NcetTEndZWcG9NY1ncndoYezj5Dg","199980000","BTC"
"1AmeVpzDE18kRXtA6tTgM4PvDKkxHaQ3EN","199980000","BTC"
"1HNjS1vDeRvaCu96a1ShxPkk2fNowsGsqQ","199980000","BTC"
"1Nnn8HMRZPGfYqSecsDxj8AYiAnvr4g6Zi","199980000","BTC"
"1v8tTMxFFp2zh9zjPieE41DEd1orUvBiD","199980000","BTC"
"1PQjZSKbZPkixPXzyxUSfK5MCZUgsNcG2","200070000","BTC"
"18QpFrRG9xYJTZcLRogQjtK7HJrzYf3Kac","199945064","BTC"
"1E1gg5p4wF19s1SwVcS9ew3qFYxeAtX9Zy","199800000","BTC"
"1MFZutushFHmiNWEf4VvzHGGLM7awjD9U4","196113226","BTC"
"1Fx3wYTJnRo9Lhu232EQAD2GvGyHYdeLKU","999969000","BTC"
"1L3xKDxcuFpk1HH4KHaPfk5ob4Jw6QveAL","193930000","BTC"
"1Q6LucwuMvMtCT8CemQBpqszxyFkTs4r3e","192840830","BTC"
"1F48qTuQfLcWL85zB7zNh9LaivbzqonieV","175000000","BTC"
"1PXhxubqikAx4NcMiDdc7XqEkgBQjT11np","274980000","BTC"
"1DjywneJXZ6j5XPwqczt9HvQELvaxGZQ3V","168680000","BTC"
"1HLYdqtLZHYXZHNZ5skKSNXFeNbqZXYck4","167900000","BTC"
"1Cb7dZMyRyXAsVHsqohfWJpQj5tejrEf2q","164555551","BTC"
"1JvWEnk1oFYohN7BZf95pu8r4pkzrzYScK","560931460","BTC"
"15kx3sYqrWH7JM2UMcF2Vacn9PFiPSk2Bj","151280000","BTC"
"12htufHubhLyUoxS43prsbEwK6vkfNmKgD","150000000","BTC"
"168if7tzp3JoJgYxj3QRmV94yqYSRAuukH","150000000","BTC"
"17Azrm3qN8dVrMVfNLTUAHZXb2iqe4hpB5","150000000","BTC"
"1DMykRdvo8ASsqPqAGUBs9rDxyfz69yiiU","150000000","BTC"
"1K6h6UrTuR5d9ugHbZrhJjDg71vguG5X5W","150000000","BTC"
"1d3w7Hc8crvRuou7tLDMxGK4vRaS9p2MG","150000000","BTC"
"1EV81uozaGctU2EcEemC8i3VUK13pS7zPs","199970000","BTC"
"1CGynbycLMMz6kRj8Vxn9hKfdvkCdvXCNq","143580000","BTC"
"1NS34o53FcFj9iHk4BDtg494mJ2e1QJXdD","149970000","BTC"
"1DmUSQYWYyqHcaMj424VMScX7kdgEPFk8v","135980000","BTC"
"12J9butHr8zE58JFautAvmM1xEALZBREkN","308333402","BTC"
"1LWLDmbsc1zg8RHKsikUtbfmaNRj7eQJuG","224970000","BTC"
"1NBGzJAp1X3qwx4EfhbpH1dFqYD7sMGcxK","320015600","BTC"
"154x4ezWbnpyNHXC5e9sLxYJR1sG55416f","119980000","BTC"
"1K34SPNwkApux89a4hh5enWfPNWCKTrBy6","205508424","BTC"
"1MF7keqoSp6nz3ciENjw958kcquGDTDA7b","118000000","BTC"
"148Vo39NgnGoK8H4uaLZfAAqMBcZBPbq3M","115448201","BTC"
"1Lx6NPXKAfLztuBgrr3pWKZ9SudCLE1jut","113464300","BTC"
"15qVUwQXuyfP5RBWAJKaNwrf7WPKM5W9FM","111410000","BTC"
"1PD9chJ9A25Yqav6u8kM7zDBT6GYdG7m6Y","111091111","BTC"
"1FkSvCyL5gjAqdH3hbV5qgB6TYAQw2wWSv","139987800","BTC"
"1DYzLZ38TsNSZVRqkj2VA9BCcze8gadgkB","105800000","BTC"
"1Gbx2iCadZHhEp5t7QAFAqJWRj8mAk4VLT","105000000","BTC"
"14YKLgqiEqwSTWWJhf9Vyds3CSHFRBP6hV","104980000","BTC"
"1J1BPnWfJ7cGt2jkwzBftpNPX12RNgxEGt","104000000","BTC"
"13mNJ5K5EGBf3dVX6dsiacHnfJCNabj8MG","199000000","BTC"
"1MpQcrtKFQFL8PtD4Quprn1uAiu8RG5bkt","101000000","BTC"
"1CHxp7EsQAAL8ya4wUjLNpEoNsQfWRzTa7","120950000","BTC"
"1E6VWabGNvmWfdEWo2v7vcVYW4stomjU4g","100980000","BTC"
"1Jh7R8M9EiSCD4iPG64WgkVWn8a2V2E67d","100980000","BTC"
"127aQMEfrtCCuYdnnTaMDum4dd52TmJ6t7","100621388","BTC"
"114nnn7RtsCnzLsaq6uW6LnBhjrrkooG3E","100403540","BTC"
"1Bi8Sb3BmjwhZUbXANBguGmP4FCmYD7xdD","100100000","BTC"
"1NYYRh4CVxxXT9dAvvcqnrJD7GPrVSGVeX","100090000","BTC"
"16dKzp7bLuHU2mEqEHT7mPEQkpDPvdSeAz","100080000","BTC"
"1McwZ7cGrSc9VxzuUN3YsdfWYNR4xkCCwW","100060000","BTC"
